[00:01.95] そうそう（へへ）
[03:29.22] 僕のような人間に会ったことがないだろうから
[04:00.72] もう誰ともヤりたくないだろう
[03:32.13] とても悪い（So bad） I'm so good that I'm so bad
[03:34.71] 私は、あなたがこれまで手にした中で最高のものになると保証する
[03:37.47] 僕のような人間に会ったことがないだろうから
[03:40.82] もう誰ともヤりたくないだろう（チッカ・チッカ）
[03:42.33] ダイナマイトと呼んでくれ、ああ（チッカチッカ）
[03:44.73] ダイナマイト、オーオー（チッカチッカ）
[03:46.78] ダイナマイト、ソ（ソ）
[03:48.55] ダイナマイトと呼んでくれ、ああ（チッカチッカ）
[03:51.79] ダイナマイト、オーオー（チッカチッカ）
[03:53.34] ダイナマイト、ソーオー（チッカチッカ）
[04:20.34] 朝、君を抱きしめることができる。
[03:56.39] でも夕方には帰らなきゃ（チッカ・チッカ）
[03:59.97] だって、僕は次の女の子に行くし、次の女の子はちょっと好きなんだ。
[04:02.98] (ああ) So bad (So bad), I'm so good that I'm so bad.
[04:05.58] 僕は君が手にした中で最高のものになると保証するよ（ドクター・ドレー）
[04:30.58] 俺のような人間に会ったことがないだろうから (2010)
[04:08.30] そして、もう誰ともヤりたくないだろう。
[04:11.73] アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ、アッ
[04:14.77] あーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあー
[04:17.46] ああ、ああ、ああ、ああ（ああああ）
[04:50.46] ああ、ああ、ああ
[04:20.36] ああ、ああ、ああ、ああ（ああああ）
[04:21.91] あーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあー
[04:23.34] ああ、ああ、ああ、ああ（ああああ）
[04:31.84] あーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあーあー
[04:26.12] ああ、ああ、ああ
[04:27.87] 
[04:29.31] 
[04:44.81] 
[04:32.15] 
[04:34.88] 
[04:38.73] 
[05:13.23] 
[04:44.19] 
[04:47.55] 
[04:50.56] 
[04:53.31] 
[05:31.31] 
[04:56.48] 
[04:59.27] 
[05:02.09] 
[05:04.82] 
[05:07.90] 
[05:11.22] 
[05:14.19] 
[05:17.16] 
[05:19.82]
